id,bank_id,seat_definition_id,mapping_type,status,created_date,created_by,modified_date,modified_by,vendor_id
1,1,1,NORMAL,ACTIVE,2025-07-21 17:33:29.000000,system,2025-11-21 17:33:29.000000,system,1
2,1,2,VIP,ACTIVE,2025-07-22 17:33:29.000000,system,2025-11-30 17:33:29.000000,system,1
3,1,3,COUPLE,ACTIVE,2025-07-10 17:33:29.000000,system,2025-12-03 17:33:29.000000,system,1
4,1,4,NORMAL,ACTIVE,2025-07-27 17:33:29.000000,system,2025-12-08 17:33:29.000000,system,2
5,1,5,VIP,ACTIVE,2025-08-28 17:33:29.000000,system,2025-11-23 17:33:29.000000,system,2
6,1,6,COUPLE,ACTIVE,2025-09-03 17:33:29.000000,system,2025-11-20 17:33:29.000000,system,2
7,1,7,NORMAL,ACTIVE,2025-09-20 17:33:29.000000,system,2025-11-12 17:33:29.000000,system,3
8,1,8,VIP,ACTIVE,2025-10-29 17:33:29.000000,system,2025-12-04 17:33:29.000000,system,3
9,1,9,COUPLE,ACTIVE,2025-10-01 17:33:29.000000,system,2025-12-05 17:33:29.000000,system,3
10,2,10,NORMAL,ACTIVE,2025-08-09 17:33:29.000000,system,2025-12-01 17:33:29.000000,system,1
11,2,11,VIP,ACTIVE,2025-07-22 17:33:29.000000,system,2025-12-01 17:33:29.000000,system,1
12,2,12,COUPLE,ACTIVE,2025-10-11 17:33:29.000000,system,2025-11-24 17:33:29.000000,system,1
13,2,13,NORMAL,ACTIVE,2025-10-20 17:33:29.000000,system,2025-11-26 17:33:29.000000,system,2
14,2,14,VIP,ACTIVE,2025-11-12 17:33:29.000000,system,2025-11-30 17:33:29.000000,system,2
15,2,15,COUPLE,ACTIVE,2025-08-27 17:33:29.000000,system,2025-11-27 17:33:29.000000,system,2
16,2,16,NORMAL,ACTIVE,2025-10-29 17:33:29.000000,system,2025-11-19 17:33:29.000000,system,3
17,2,17,VIP,ACTIVE,2025-09-23 17:33:29.000000,system,2025-11-18 17:33:29.000000,system,3
18,2,18,COUPLE,ACTIVE,2025-10-30 17:33:29.000000,system,2025-12-05 17:33:29.000000,system,3
19,3,19,NORMAL,ACTIVE,2025-10-13 17:33:29.000000,system,2025-11-13 17:33:29.000000,system,1
20,3,20,VIP,ACTIVE,2025-07-14 17:33:29.000000,system,2025-11-14 17:33:29.000000,system,1
21,3,21,COUPLE,ACTIVE,2025-09-26 17:33:29.000000,system,2025-12-05 17:33:29.000000,system,1
22,3,22,NORMAL,ACTIVE,2025-09-26 17:33:29.000000,system,2025-11-29 17:33:29.000000,system,2
23,3,23,VIP,ACTIVE,2025-10-22 17:33:29.000000,system,2025-12-05 17:33:29.000000,system,2
24,3,24,COUPLE,ACTIVE,2025-07-31 17:33:29.000000,system,2025-11-23 17:33:29.000000,system,2
25,3,25,NORMAL,ACTIVE,2025-08-31 17:33:29.000000,system,2025-12-08 17:33:29.000000,system,3
26,3,26,VIP,ACTIVE,2025-08-29 17:33:29.000000,system,2025-11-21 17:33:29.000000,system,3
27,3,27,COUPLE,ACTIVE,2025-10-09 17:33:29.000000,system,2025-12-09 17:33:29.000000,system,3
28,4,28,NORMAL,ACTIVE,2025-08-17 17:33:29.000000,system,2025-11-26 17:33:29.000000,system,1
29,4,29,VIP,ACTIVE,2025-10-27 17:33:29.000000,system,2025-11-22 17:33:29.000000,system,1
30,4,30,COUPLE,ACTIVE,2025-09-28 17:33:29.000000,system,2025-12-12 17:33:29.000000,system,1
31,4,31,NORMAL,ACTIVE,2025-06-29 17:33:29.000000,system,2025-12-02 17:33:29.000000,system,2
32,4,32,VIP,ACTIVE,2025-11-02 17:33:29.000000,system,2025-11-29 17:33:29.000000,system,2
33,4,33,COUPLE,ACTIVE,2025-09-16 17:33:29.000000,system,2025-12-04 17:33:29.000000,system,2
34,4,34,NORMAL,ACTIVE,2025-08-16 17:33:29.000000,system,2025-11-21 17:33:29.000000,system,3
35,4,35,VIP,ACTIVE,2025-06-26 17:33:29.000000,system,2025-11-30 17:33:29.000000,system,3
36,4,36,COUPLE,ACTIVE,2025-07-01 17:33:29.000000,system,2025-11-24 17:33:29.000000,system,3
