id,order_id,order_refund_id,original_id,type,content,status,server_response_data,created_date,modified_date,modified_by,bank_identity,bank_identity_hash,created_by,created_by_hash
1,1,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-18 17:33:29.000000,2025-12-05 17:33:29.000000,system,user1,0a041b9462caa4a31bac3567e0b6e6fd,system,bbc5e661e106c6dcd8dc6dd186454c2f
2,2,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-01 17:33:29.000000,2025-12-08 17:33:29.000000,system,user2,6025d18fe48abd45168528f18a82e265,system,bbc5e661e106c6dcd8dc6dd186454c2f
3,3,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-13 17:33:29.000000,2025-12-12 17:33:29.000000,system,user3,5860faf02b6bc6222ba5aca523560f0e,system,bbc5e661e106c6dcd8dc6dd186454c2f
4,4,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-17 17:33:29.000000,2025-12-12 17:33:29.000000,system,user4,5269ef980de47819ba3d14340f466526,system,bbc5e661e106c6dcd8dc6dd186454c2f
5,5,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-21 17:33:29.000000,2025-12-05 17:33:29.000000,system,user5,5a39bead318f306939acb1d016647be2,system,bbc5e661e106c6dcd8dc6dd186454c2f
6,6,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-29 17:33:29.000000,2025-12-05 17:33:29.000000,system,user6,ecb48a1cc94f951252ec462fe9ecc55c,system,bbc5e661e106c6dcd8dc6dd186454c2f
7,7,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-01 17:33:29.000000,2025-12-09 17:33:29.000000,system,user7,3268151e52d97b4cacf97f5b46a5c76c,system,bbc5e661e106c6dcd8dc6dd186454c2f
8,8,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-28 17:33:29.000000,2025-12-12 17:33:29.000000,system,user8,f60afa4989a7db13314a2ab988137263,system,bbc5e661e106c6dcd8dc6dd186454c2f
9,9,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-23 17:33:29.000000,2025-12-09 17:33:29.000000,system,user9,0fb8d3c5dfaf81a387bf0ba439ab40e6,system,bbc5e661e106c6dcd8dc6dd186454c2f
10,10,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-23 17:33:29.000000,2025-12-06 17:33:29.000000,system,user10,5bbf1a9e0de062225a1bb7df8d8b3719,system,bbc5e661e106c6dcd8dc6dd186454c2f
11,11,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-24 17:33:29.000000,2025-12-09 17:33:29.000000,system,user11,81115e31e22a5801b197750ec12d7a51,system,bbc5e661e106c6dcd8dc6dd186454c2f
12,12,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-22 17:33:29.000000,2025-12-08 17:33:29.000000,system,user12,bd35283fe8fcfd77d7c05a8bf2adb85c,system,bbc5e661e106c6dcd8dc6dd186454c2f
13,13,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-03 17:33:29.000000,2025-12-10 17:33:29.000000,system,user13,1834e148b518a43a37e04a4e4fbcee1e,system,bbc5e661e106c6dcd8dc6dd186454c2f
14,14,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-18 17:33:29.000000,2025-12-07 17:33:29.000000,system,user14,daf7996f88742675acb3d0f85a8069d0,system,bbc5e661e106c6dcd8dc6dd186454c2f
15,15,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-12 17:33:29.000000,2025-12-06 17:33:29.000000,system,user15,2b8b66f64b605318593982b059a08dae,system,bbc5e661e106c6dcd8dc6dd186454c2f
16,16,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-09 17:33:29.000000,2025-12-10 17:33:29.000000,system,user16,4de4153595c0977d2389d0880547bd3a,system,bbc5e661e106c6dcd8dc6dd186454c2f
17,17,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-13 17:33:29.000000,2025-12-09 17:33:29.000000,system,user17,2a60ff641c890283b1d070f827cf9c0c,system,bbc5e661e106c6dcd8dc6dd186454c2f
18,18,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-03 17:33:29.000000,2025-12-11 17:33:29.000000,system,user18,ebc835d1b43e63d1ba35af810da3a23e,system,bbc5e661e106c6dcd8dc6dd186454c2f
19,19,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-08 17:33:29.000000,2025-12-06 17:33:29.000000,system,user19,0b6ecb3aa9b23589fb9e314b46c832d9,system,bbc5e661e106c6dcd8dc6dd186454c2f
20,20,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-19 17:33:29.000000,2025-12-11 17:33:29.000000,system,user20,7febe54e79096749ac43dc6c2e3e5d4d,system,bbc5e661e106c6dcd8dc6dd186454c2f
21,21,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-20 17:33:29.000000,2025-12-09 17:33:29.000000,system,user21,8fab3a60577befd765cde83f2737cd1a,system,bbc5e661e106c6dcd8dc6dd186454c2f
22,22,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-21 17:33:29.000000,2025-12-07 17:33:29.000000,system,user22,b999205cdacd2c4516598d99b420d297,system,bbc5e661e106c6dcd8dc6dd186454c2f
23,23,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-13 17:33:29.000000,2025-12-10 17:33:29.000000,system,user23,2a0fff6e36fbc6a21f7b065f24a3ffb4,system,bbc5e661e106c6dcd8dc6dd186454c2f
24,24,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-27 17:33:29.000000,2025-12-06 17:33:29.000000,system,user24,65303a0ec5984ab62d102031a5c9be89,system,bbc5e661e106c6dcd8dc6dd186454c2f
25,25,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-12 17:33:29.000000,2025-12-08 17:33:29.000000,system,user25,dab53605c85e2eff2f2192e08b772cbc,system,bbc5e661e106c6dcd8dc6dd186454c2f
26,26,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-15 17:33:29.000000,2025-12-12 17:33:29.000000,system,user26,6356b9f65e6e775b3feb7996bd3e1ba3,system,bbc5e661e106c6dcd8dc6dd186454c2f
27,27,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-16 17:33:29.000000,2025-12-11 17:33:29.000000,system,user27,590b1a8287729e75223a77d4f64fb13d,system,bbc5e661e106c6dcd8dc6dd186454c2f
28,28,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-08 17:33:29.000000,2025-12-10 17:33:29.000000,system,user28,fdc86230e908634cb03015f1a016ffa1,system,bbc5e661e106c6dcd8dc6dd186454c2f
29,29,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-08 17:33:29.000000,2025-12-08 17:33:29.000000,system,user29,df3c4035da126a48f484133358bedf23,system,bbc5e661e106c6dcd8dc6dd186454c2f
30,30,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-27 17:33:29.000000,2025-12-08 17:33:29.000000,system,user30,601fbd496628a2a8ad6186af757273b1,system,bbc5e661e106c6dcd8dc6dd186454c2f
31,31,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-18 17:33:29.000000,2025-12-05 17:33:29.000000,system,user31,4ccb2f3b57e6de1caea8475b13fb5c96,system,bbc5e661e106c6dcd8dc6dd186454c2f
32,32,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-15 17:33:29.000000,2025-12-08 17:33:29.000000,system,user32,54a2979a455bec056285887a8137d1bf,system,bbc5e661e106c6dcd8dc6dd186454c2f
33,33,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-04 17:33:29.000000,2025-12-11 17:33:29.000000,system,user33,f81e0105e6dcdf3f2e2041d119d1c87b,system,bbc5e661e106c6dcd8dc6dd186454c2f
34,34,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-15 17:33:29.000000,2025-12-11 17:33:29.000000,system,user34,4d4ec9499ab2bce1c5c8a565004ac27d,system,bbc5e661e106c6dcd8dc6dd186454c2f
35,35,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-09 17:33:29.000000,2025-12-07 17:33:29.000000,system,user35,3dd5329b7396fda1de5878a24ab7ca98,system,bbc5e661e106c6dcd8dc6dd186454c2f
36,36,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-15 17:33:29.000000,2025-12-08 17:33:29.000000,system,user36,06f01542cd526fcfd7624cf9fca3e0e3,system,bbc5e661e106c6dcd8dc6dd186454c2f
37,37,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-03 17:33:29.000000,2025-12-07 17:33:29.000000,system,user37,9c10f9996d42387555f8008224c0b8ff,system,bbc5e661e106c6dcd8dc6dd186454c2f
38,38,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-14 17:33:29.000000,2025-12-08 17:33:29.000000,system,user38,85a20bcfad4e8153d5fd624c87ed0ae6,system,bbc5e661e106c6dcd8dc6dd186454c2f
39,39,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-29 17:33:29.000000,2025-12-12 17:33:29.000000,system,user39,dd69a400ddf28026fe94595eafadd0d1,system,bbc5e661e106c6dcd8dc6dd186454c2f
40,40,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-08 17:33:29.000000,2025-12-07 17:33:29.000000,system,user40,39a6bd68eee930e937ba05904fd43794,system,bbc5e661e106c6dcd8dc6dd186454c2f
41,41,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-23 17:33:29.000000,2025-12-12 17:33:29.000000,system,user41,ce063ef25241f49ef0adef10d7c2ba91,system,bbc5e661e106c6dcd8dc6dd186454c2f
42,42,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-09 17:33:29.000000,2025-12-08 17:33:29.000000,system,user42,fb44d98b9d56bbe49028eacc8574f571,system,bbc5e661e106c6dcd8dc6dd186454c2f
43,43,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-28 17:33:29.000000,2025-12-05 17:33:29.000000,system,user43,f02916fe22baf673a04bc322efd5efc1,system,bbc5e661e106c6dcd8dc6dd186454c2f
44,44,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-24 17:33:29.000000,2025-12-12 17:33:29.000000,system,user44,0d28f6929860381621e417f808a811e8,system,bbc5e661e106c6dcd8dc6dd186454c2f
