id,name,order_id,quantity,vendor_concession_id,vendor_concession_type,vendor_concession_name,vendor_concession_description,vendor_concession_image,vendor_additional_data,vendor_concession_price,vendor_discount_price,vendor_sub_fee,vendor_charge_amount,vendor_reconciliation_price,vnpay_concession_price,vnpay_discount_price,vnpay_final_price,vnpay_profit,campaign_id,sub_campaign_id,campaign_code,campaign_type,campaign_vendor_discount,campaign_vnpay_discount,promotion_vendor_amount,promotion_vnpay_amount,created_date,modified_date,modified_by,created_by,created_by_hash
1,Combo Solo,1,1,CON00001,COMBO,Combo Solo,Combo Solo,https://img/con1.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-29 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
2,Combo Solo,2,2,CON00002,COMBO,Combo Solo,Combo Solo,https://img/con2.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-12-05 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
3,Combo Couple,3,2,CON00003,COMBO,Combo Couple,Combo Couple,https://img/con3.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-19 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
4,Coca Lớn,4,1,CON00004,COMBO,Coca Lớn,Coca Lớn,https://img/con4.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-19 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
5,Combo Solo,4,2,CON00005,COMBO,Combo Solo,Combo Solo,https://img/con5.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-12 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
6,Coca Lớn,5,1,CON00006,COMBO,Coca Lớn,Coca Lớn,https://img/con6.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
7,Coca Lớn,5,1,CON00007,COMBO,Coca Lớn,Coca Lớn,https://img/con7.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-05 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
8,Bắp Lớn,6,2,CON00008,COMBO,Bắp Lớn,Bắp Lớn,https://img/con8.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-14 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
9,Combo Solo,6,1,CON00009,COMBO,Combo Solo,Combo Solo,https://img/con9.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-18 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
10,Combo Couple,7,1,CON00010,COMBO,Combo Couple,Combo Couple,https://img/con10.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-29 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
