id,cinema_id,cinema_name_vi,cinema_name_en,cinema_address,film_id,film_name_vi,film_name_en,film_trailer_url,film_poster_url,film_banner_url,film_country,film_category,director,actors,film_duration,film_language,film_description_vi,film_description_en,film_publish_date,film_pg_rating,film_age,location_id,session_id,session_type,session_dimension,session_time,session_version,session_version_type,vendor_id,vendor_name,vendor_name_en,vendor_cinema_id,vendor_film_id,vendor_film_name_vi,vendor_film_name_en,vendor_session_id,vendor_room_id,vendor_room_name_vi,vendor_room_name_en,created_date,modified_date,modified_by,language,created_by,created_by_hash
1,8,Cinestar QT,Cinestar QT,271 NT,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-12-06 17:33:29.000000,C18,18,5,40,nowShowing,Film2D,2025-12-15 17:33:29.000000,subtitling,VER_2D_SUB,6,Beta,Beta,VND-C008,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00040,R01,Phòng 1,Room 1,2025-12-04 17:33:29.000000,2025-12-06 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
2,2,CGV Aeon Long Biên,CGV Aeon,27 Cổ Linh,1,Quật Mộ Trùng Ma,The Exorcism,https://yt.com/1,https://img/1.jpg,https://img/b1.jpg,Mỹ,Hành động,Director,Actors,120,VI,Quật Mộ Trùng Ma,The Exorcism,2025-12-08 17:33:29.000000,C18,18,1,23,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,5,Cinestar,Cinestar,VND-C002,VND-F001,Quật Mộ Trùng Ma,The Exorcism,VND-S00023,R01,Phòng 1,Room 1,2025-11-28 17:33:29.000000,2025-12-05 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
3,7,CGV Crescent,CGV Crescent,101 TDT,1,Quật Mộ Trùng Ma,The Exorcism,https://yt.com/1,https://img/1.jpg,https://img/b1.jpg,Mỹ,Hành động,Director,Actors,120,VI,Quật Mộ Trùng Ma,The Exorcism,2025-11-06 17:33:29.000000,C18,18,4,49,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,2,Lotte,Lotte,VND-C007,VND-F001,Quật Mộ Trùng Ma,The Exorcism,VND-S00049,R01,Phòng 1,Room 1,2025-11-17 17:33:29.000000,2025-12-11 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
4,6,Beta GP,Beta GP,384 GP,3,Mufasa,Mufasa,https://yt.com/3,https://img/3.jpg,https://img/b3.jpg,Mỹ,Hành động,Director,Actors,120,VI,Mufasa,Mufasa,2025-11-17 17:33:29.000000,C18,18,4,35,nowShowing,Film2D,2025-12-17 17:33:29.000000,subtitling,VER_2D_SUB,5,Cinestar,Cinestar,VND-C006,VND-F003,Mufasa,Mufasa,VND-S00035,R01,Phòng 1,Room 1,2025-11-27 17:33:29.000000,2025-12-05 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
5,8,Cinestar QT,Cinestar QT,271 NT,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-10-19 17:33:29.000000,C18,18,3,11,nowShowing,Film2D,2025-12-18 17:33:29.000000,subtitling,VER_2D_SUB,1,CGV,CGV,VND-C008,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00011,R01,Phòng 1,Room 1,2025-11-21 17:33:29.000000,2025-12-06 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
6,8,Cinestar QT,Cinestar QT,271 NT,5,Linh Miêu,Linh Mieu,https://yt.com/5,https://img/5.jpg,https://img/b5.jpg,Mỹ,Hành động,Director,Actors,120,VI,Linh Miêu,Linh Mieu,2025-11-24 17:33:29.000000,C18,18,2,30,nowShowing,Film2D,2025-12-05 17:33:29.000000,subtitling,VER_2D_SUB,6,Beta,Beta,VND-C008,VND-F005,Linh Miêu,Linh Mieu,VND-S00030,R01,Phòng 1,Room 1,2025-11-15 17:33:29.000000,2025-12-05 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
7,2,CGV Aeon Long Biên,CGV Aeon,27 Cổ Linh,5,Linh Miêu,Linh Mieu,https://yt.com/5,https://img/5.jpg,https://img/b5.jpg,Mỹ,Hành động,Director,Actors,120,VI,Linh Miêu,Linh Mieu,2025-11-18 17:33:29.000000,C18,18,5,6,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,5,Cinestar,Cinestar,VND-C002,VND-F005,Linh Miêu,Linh Mieu,VND-S00006,R01,Phòng 1,Room 1,2025-12-02 17:33:29.000000,2025-12-10 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
8,7,CGV Crescent,CGV Crescent,101 TDT,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-10-31 17:33:29.000000,C18,18,2,1,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,3,Galaxy,Galaxy,VND-C007,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00001,R01,Phòng 1,Room 1,2025-12-05 17:33:29.000000,2025-12-12 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
9,2,CGV Aeon Long Biên,CGV Aeon,27 Cổ Linh,6,Cô Dâu Hào Môn,Grand Wedding,https://yt.com/6,https://img/6.jpg,https://img/b6.jpg,Mỹ,Hành động,Director,Actors,120,VI,Cô Dâu Hào Môn,Grand Wedding,2025-12-12 17:33:29.000000,C18,18,2,35,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,3,Galaxy,Galaxy,VND-C002,VND-F006,Cô Dâu Hào Môn,Grand Wedding,VND-S00035,R01,Phòng 1,Room 1,2025-11-15 17:33:29.000000,2025-12-12 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
10,6,Beta GP,Beta GP,384 GP,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-11-26 17:33:29.000000,C18,18,4,10,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,4,BHD,BHD,VND-C006,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00010,R01,Phòng 1,Room 1,2025-11-19 17:33:29.000000,2025-12-12 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
11,5,BHD Vincom ĐN,BHD DN,910A NQ,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-11-25 17:33:29.000000,C18,18,4,23,nowShowing,Film2D,2025-12-15 17:33:29.000000,subtitling,VER_2D_SUB,2,Lotte,Lotte,VND-C005,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00023,R01,Phòng 1,Room 1,2025-11-18 17:33:29.000000,2025-12-07 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
12,5,BHD Vincom ĐN,BHD DN,910A NQ,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-10-28 17:33:29.000000,C18,18,5,40,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,4,BHD,BHD,VND-C005,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00040,R01,Phòng 1,Room 1,2025-11-29 17:33:29.000000,2025-12-07 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
13,8,Cinestar QT,Cinestar QT,271 NT,4,Kraven,Kraven,https://yt.com/4,https://img/4.jpg,https://img/b4.jpg,Mỹ,Hành động,Director,Actors,120,VI,Kraven,Kraven,2025-11-16 17:33:29.000000,C18,18,2,15,nowShowing,Film2D,2025-12-19 17:33:29.000000,subtitling,VER_2D_SUB,4,BHD,BHD,VND-C008,VND-F004,Kraven,Kraven,VND-S00015,R01,Phòng 1,Room 1,2025-11-13 17:33:29.000000,2025-12-07 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
14,3,Lotte Landmark,Lotte Landmark,772 ĐBP,6,Cô Dâu Hào Môn,Grand Wedding,https://yt.com/6,https://img/6.jpg,https://img/b6.jpg,Mỹ,Hành động,Director,Actors,120,VI,Cô Dâu Hào Môn,Grand Wedding,2025-11-18 17:33:29.000000,C18,18,3,14,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,3,Galaxy,Galaxy,VND-C003,VND-F006,Cô Dâu Hào Môn,Grand Wedding,VND-S00014,R01,Phòng 1,Room 1,2025-11-20 17:33:29.000000,2025-12-05 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
15,7,CGV Crescent,CGV Crescent,101 TDT,6,Cô Dâu Hào Môn,Grand Wedding,https://yt.com/6,https://img/6.jpg,https://img/b6.jpg,Mỹ,Hành động,Director,Actors,120,VI,Cô Dâu Hào Môn,Grand Wedding,2025-11-08 17:33:29.000000,C18,18,1,3,nowShowing,Film2D,2025-12-18 17:33:29.000000,subtitling,VER_2D_SUB,3,Galaxy,Galaxy,VND-C007,VND-F006,Cô Dâu Hào Môn,Grand Wedding,VND-S00003,R01,Phòng 1,Room 1,2025-12-01 17:33:29.000000,2025-12-10 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
16,8,Cinestar QT,Cinestar QT,271 NT,4,Kraven,Kraven,https://yt.com/4,https://img/4.jpg,https://img/b4.jpg,Mỹ,Hành động,Director,Actors,120,VI,Kraven,Kraven,2025-12-11 17:33:29.000000,C18,18,3,1,nowShowing,Film2D,2025-12-10 17:33:29.000000,subtitling,VER_2D_SUB,4,BHD,BHD,VND-C008,VND-F004,Kraven,Kraven,VND-S00001,R01,Phòng 1,Room 1,2025-11-17 17:33:29.000000,2025-12-05 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
17,7,CGV Crescent,CGV Crescent,101 TDT,3,Mufasa,Mufasa,https://yt.com/3,https://img/3.jpg,https://img/b3.jpg,Mỹ,Hành động,Director,Actors,120,VI,Mufasa,Mufasa,2025-10-13 17:33:29.000000,C18,18,2,38,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,4,BHD,BHD,VND-C007,VND-F003,Mufasa,Mufasa,VND-S00038,R01,Phòng 1,Room 1,2025-12-05 17:33:29.000000,2025-12-09 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
18,7,CGV Crescent,CGV Crescent,101 TDT,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-12-02 17:33:29.000000,C18,18,5,16,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,2,Lotte,Lotte,VND-C007,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00016,R01,Phòng 1,Room 1,2025-12-03 17:33:29.000000,2025-12-10 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
19,1,CGV Vincom Bà Triệu,CGV Vincom Ba Trieu,191 Bà Triệu,1,Quật Mộ Trùng Ma,The Exorcism,https://yt.com/1,https://img/1.jpg,https://img/b1.jpg,Mỹ,Hành động,Director,Actors,120,VI,Quật Mộ Trùng Ma,The Exorcism,2025-10-27 17:33:29.000000,C18,18,5,5,nowShowing,Film2D,2025-12-14 17:33:29.000000,subtitling,VER_2D_SUB,2,Lotte,Lotte,VND-C001,VND-F001,Quật Mộ Trùng Ma,The Exorcism,VND-S00005,R01,Phòng 1,Room 1,2025-12-05 17:33:29.000000,2025-12-05 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
20,1,CGV Vincom Bà Triệu,CGV Vincom Ba Trieu,191 Bà Triệu,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-12-08 17:33:29.000000,C18,18,3,47,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,4,BHD,BHD,VND-C001,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00047,R01,Phòng 1,Room 1,2025-11-19 17:33:29.000000,2025-12-11 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
21,6,Beta GP,Beta GP,384 GP,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-11-25 17:33:29.000000,C18,18,2,33,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,2,Lotte,Lotte,VND-C006,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00033,R01,Phòng 1,Room 1,2025-11-25 17:33:29.000000,2025-12-09 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
22,5,BHD Vincom ĐN,BHD DN,910A NQ,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-11-10 17:33:29.000000,C18,18,2,47,nowShowing,Film2D,2025-12-12 17:33:29.000000,subtitling,VER_2D_SUB,6,Beta,Beta,VND-C005,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00047,R01,Phòng 1,Room 1,2025-12-12 17:33:29.000000,2025-12-12 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
23,3,Lotte Landmark,Lotte Landmark,772 ĐBP,5,Linh Miêu,Linh Mieu,https://yt.com/5,https://img/5.jpg,https://img/b5.jpg,Mỹ,Hành động,Director,Actors,120,VI,Linh Miêu,Linh Mieu,2025-11-30 17:33:29.000000,C18,18,4,36,nowShowing,Film2D,2025-12-18 17:33:29.000000,subtitling,VER_2D_SUB,5,Cinestar,Cinestar,VND-C003,VND-F005,Linh Miêu,Linh Mieu,VND-S00036,R01,Phòng 1,Room 1,2025-12-07 17:33:29.000000,2025-12-07 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
24,6,Beta GP,Beta GP,384 GP,4,Kraven,Kraven,https://yt.com/4,https://img/4.jpg,https://img/b4.jpg,Mỹ,Hành động,Director,Actors,120,VI,Kraven,Kraven,2025-12-12 17:33:29.000000,C18,18,3,49,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,6,Beta,Beta,VND-C006,VND-F004,Kraven,Kraven,VND-S00049,R01,Phòng 1,Room 1,2025-12-02 17:33:29.000000,2025-12-08 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
25,8,Cinestar QT,Cinestar QT,271 NT,1,Quật Mộ Trùng Ma,The Exorcism,https://yt.com/1,https://img/1.jpg,https://img/b1.jpg,Mỹ,Hành động,Director,Actors,120,VI,Quật Mộ Trùng Ma,The Exorcism,2025-11-11 17:33:29.000000,C18,18,1,18,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,6,Beta,Beta,VND-C008,VND-F001,Quật Mộ Trùng Ma,The Exorcism,VND-S00018,R01,Phòng 1,Room 1,2025-12-10 17:33:29.000000,2025-12-06 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
26,7,CGV Crescent,CGV Crescent,101 TDT,3,Mufasa,Mufasa,https://yt.com/3,https://img/3.jpg,https://img/b3.jpg,Mỹ,Hành động,Director,Actors,120,VI,Mufasa,Mufasa,2025-11-09 17:33:29.000000,C18,18,4,17,nowShowing,Film2D,2025-12-09 17:33:29.000000,subtitling,VER_2D_SUB,6,Beta,Beta,VND-C007,VND-F003,Mufasa,Mufasa,VND-S00017,R01,Phòng 1,Room 1,2025-12-11 17:33:29.000000,2025-12-11 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
27,4,Galaxy Nguyễn Du,Galaxy ND,116 Nguyễn Du,4,Kraven,Kraven,https://yt.com/4,https://img/4.jpg,https://img/b4.jpg,Mỹ,Hành động,Director,Actors,120,VI,Kraven,Kraven,2025-10-21 17:33:29.000000,C18,18,4,12,nowShowing,Film2D,2025-12-16 17:33:29.000000,subtitling,VER_2D_SUB,4,BHD,BHD,VND-C004,VND-F004,Kraven,Kraven,VND-S00012,R01,Phòng 1,Room 1,2025-12-03 17:33:29.000000,2025-12-11 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
28,8,Cinestar QT,Cinestar QT,271 NT,2,Nhím Sonic 3,Sonic 3,https://yt.com/2,https://img/2.jpg,https://img/b2.jpg,Mỹ,Hành động,Director,Actors,120,VI,Nhím Sonic 3,Sonic 3,2025-10-21 17:33:29.000000,C18,18,3,34,nowShowing,Film2D,2025-12-16 17:33:29.000000,subtitling,VER_2D_SUB,3,Galaxy,Galaxy,VND-C008,VND-F002,Nhím Sonic 3,Sonic 3,VND-S00034,R01,Phòng 1,Room 1,2025-12-11 17:33:29.000000,2025-12-10 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
29,2,CGV Aeon Long Biên,CGV Aeon,27 Cổ Linh,6,Cô Dâu Hào Môn,Grand Wedding,https://yt.com/6,https://img/6.jpg,https://img/b6.jpg,Mỹ,Hành động,Director,Actors,120,VI,Cô Dâu Hào Môn,Grand Wedding,2025-10-21 17:33:29.000000,C18,18,4,13,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,6,Beta,Beta,VND-C002,VND-F006,Cô Dâu Hào Môn,Grand Wedding,VND-S00013,R01,Phòng 1,Room 1,2025-12-11 17:33:29.000000,2025-12-07 17:33:29.000000,system,vi,system,bbc5e661e106c6dcd8dc6dd186454c2f
