id,name,order_id,vendor_seat_id,vendor_seat_type,vendor_seat_name,vendor_additional_data,vendor_seat_price,vendor_discount_price,vendor_sub_fee,vendor_charge_amount,vendor_reconciliation_price,vendor_fee,vnpay_seat_type,vnpay_seat_price,vnpay_final_price,vnpay_profit,vnpay_fee,campaign_id,sub_campaign_id,campaign_code,campaign_type,campaign_vendor_discount,campaign_vnpay_discount,promotion_vendor_amount,promotion_vnpay_amount,created_date,modified_date,modified_by,created_by,created_by_hash
1,E13,1,SEAT000001,COUPLE,E13,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-12 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
2,F10,1,SEAT000002,COUPLE,F10,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
3,E5,2,SEAT000003,VIP,E5,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-13 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
4,F9,2,SEAT000004,COUPLE,F9,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-12 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
5,B11,2,SEAT000005,VIP,B11,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
6,I6,3,SEAT000006,COUPLE,I6,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-04 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
7,C9,3,SEAT000007,VIP,C9,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-26 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
8,H6,3,SEAT000008,NORMAL,H6,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-20 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
9,G10,3,SEAT000009,VIP,G10,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-17 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
10,E2,4,SEAT000010,COUPLE,E2,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-18 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
11,E5,4,SEAT000011,VIP,E5,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-25 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
12,D10,4,SEAT000012,COUPLE,D10,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
13,G6,4,SEAT000013,NORMAL,G6,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-18 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
14,B12,5,SEAT000014,COUPLE,B12,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
15,G4,6,SEAT000015,COUPLE,G4,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-10 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
16,A14,7,SEAT000016,COUPLE,A14,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-02 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
