id,api_version,bank_id,bank_name,bank_identity,bank_identity_hash,bank_channel_id,promotion_id,promotion_code,promotion_amount,promotion_vnpay_amount,promotion_vendor_amount,promotion_bank_amount,promotion_hold_date,promotion_hold_response,campaign_id,sub_campaign_id,campaign_code,campaign_type,cinema_id,cinema_name_vi,cinema_name_en,cinema_address,location_id,film_id,film_name_vi,film_name_en,session_id,session_type,session_dimension,session_time,session_version,session_version_type,vendor_id,vendor_name,vendor_cinema_id,vendor_film_id,vendor_film_name_vi,vendor_film_name_en,vendor_session_id,vendor_room_id,vendor_room_name_vi,vendor_room_name_en,created_date,created_by,created_by_hash
1,v4,8,VNPAY,user1,0a041b9462caa4a31bac3567e0b6e6fd,CH08,PROMO00001,TET2025,50000,35000,15000,0,2025-11-30 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,5,1,Film VI,Film EN,2,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,4,Vendor,VND-C007,VND-F001,Film VI,Film EN,VND-S00002,R01,Phòng 1,Room 1,2025-12-04 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
2,v4,6,VNPAY,user2,6025d18fe48abd45168528f18a82e265,CH06,PROMO00002,TET2025,50000,35000,15000,0,2025-12-07 17:33:29.000000,OK,1,1,TET2025,normal,2,Cinema,Cinema EN,Address,3,4,Film VI,Film EN,28,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C002,VND-F004,Film VI,Film EN,VND-S00028,R01,Phòng 1,Room 1,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
3,v4,6,VNPAY,user3,5860faf02b6bc6222ba5aca523560f0e,CH06,PROMO00003,TET2025,50000,35000,15000,0,2025-11-15 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,5,2,Film VI,Film EN,49,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,4,Vendor,VND-C007,VND-F002,Film VI,Film EN,VND-S00049,R01,Phòng 1,Room 1,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
4,v4,3,VNPAY,user4,5269ef980de47819ba3d14340f466526,CH03,PROMO00004,TET2025,50000,35000,15000,0,2025-11-30 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,3,6,Film VI,Film EN,27,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C007,VND-F006,Film VI,Film EN,VND-S00027,R01,Phòng 1,Room 1,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
5,v4,2,VNPAY,user5,5a39bead318f306939acb1d016647be2,CH02,PROMO00005,TET2025,50000,35000,15000,0,2025-11-28 17:33:29.000000,OK,1,1,TET2025,normal,1,Cinema,Cinema EN,Address,4,1,Film VI,Film EN,31,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C001,VND-F001,Film VI,Film EN,VND-S00031,R01,Phòng 1,Room 1,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
6,v4,3,VNPAY,user6,ecb48a1cc94f951252ec462fe9ecc55c,CH03,PROMO00006,TET2025,50000,35000,15000,0,2025-12-07 17:33:29.000000,OK,1,1,TET2025,normal,2,Cinema,Cinema EN,Address,5,3,Film VI,Film EN,9,nowShowing,Film2D,2025-12-12 17:33:29.000000,subtitling,VER_2D_SUB,2,Vendor,VND-C002,VND-F003,Film VI,Film EN,VND-S00009,R01,Phòng 1,Room 1,2025-11-16 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
7,v4,6,VNPAY,user7,3268151e52d97b4cacf97f5b46a5c76c,CH06,PROMO00007,TET2025,50000,35000,15000,0,2025-11-12 17:33:29.000000,OK,1,1,TET2025,normal,3,Cinema,Cinema EN,Address,4,4,Film VI,Film EN,46,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C003,VND-F004,Film VI,Film EN,VND-S00046,R01,Phòng 1,Room 1,2025-11-21 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
8,v4,6,VNPAY,user8,f60afa4989a7db13314a2ab988137263,CH06,PROMO00008,TET2025,50000,35000,15000,0,2025-11-26 17:33:29.000000,OK,1,1,TET2025,normal,6,Cinema,Cinema EN,Address,3,3,Film VI,Film EN,35,nowShowing,Film2D,2025-12-12 17:33:29.000000,subtitling,VER_2D_SUB,2,Vendor,VND-C006,VND-F003,Film VI,Film EN,VND-S00035,R01,Phòng 1,Room 1,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
9,v4,2,VNPAY,user9,0fb8d3c5dfaf81a387bf0ba439ab40e6,CH02,PROMO00009,TET2025,50000,35000,15000,0,2025-12-07 17:33:29.000000,OK,1,1,TET2025,normal,3,Cinema,Cinema EN,Address,1,5,Film VI,Film EN,13,nowShowing,Film2D,2025-12-12 17:33:29.000000,subtitling,VER_2D_SUB,2,Vendor,VND-C003,VND-F005,Film VI,Film EN,VND-S00013,R01,Phòng 1,Room 1,2025-12-02 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
10,v4,1,VNPAY,user10,5bbf1a9e0de062225a1bb7df8d8b3719,CH01,PROMO00010,TET2025,50000,35000,15000,0,2025-12-03 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,2,6,Film VI,Film EN,41,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,3,Vendor,VND-C007,VND-F006,Film VI,Film EN,VND-S00041,R01,Phòng 1,Room 1,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
