id,pre_order_id,quantity,vendor_concession_id,vendor_concession_type,vendor_concession_name,vendor_concession_description,vendor_concession_image,vendor_additional_data,vendor_concession_price,vendor_discount_price,vnpay_concession_price,campaign_id,sub_campaign_id,campaign_code,campaign_type,campaign_vendor_discount,campaign_vnpay_discount,promotion_vendor_discount,promotion_vnpay_discount,promotion_vendor_amount,promotion_vnpay_amount,created_date,created_by,created_by_hash
1,1,1,CON00001,COMBO,Combo Couple,Bắp + Nước,https://img/con1.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-16 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
2,2,1,CON00002,COMBO,Combo Couple,Bắp + Nước,https://img/con2.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
3,3,2,CON00003,COMBO,Combo Couple,Bắp + Nước,https://img/con3.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-18 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
4,4,2,CON00004,COMBO,Combo Couple,Bắp + Nước,https://img/con4.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
5,5,1,CON00005,COMBO,Combo Couple,Bắp + Nước,https://img/con5.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-28 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
6,6,1,CON00006,COMBO,Combo Couple,Bắp + Nước,https://img/con6.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
7,7,1,CON00007,COMBO,Combo Couple,Bắp + Nước,https://img/con7.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
8,8,1,CON00008,COMBO,Combo Couple,Bắp + Nước,https://img/con8.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-04 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
9,9,2,CON00009,COMBO,Combo Couple,Bắp + Nước,https://img/con9.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
10,10,1,CON00010,COMBO,Combo Couple,Bắp + Nước,https://img/con10.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-21 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
11,11,1,CON00011,COMBO,Combo Couple,Bắp + Nước,https://img/con11.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-03 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
12,12,1,CON00012,COMBO,Combo Couple,Bắp + Nước,https://img/con12.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
13,13,2,CON00013,COMBO,Combo Couple,Bắp + Nước,https://img/con13.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
