id,seats,concessions,bank_id,bank_identity,campaign_id,sub_campaign_id,campaign_code,created_date,created_by,modified_date,modified_by
1,"[101,102]","{""1"":1,""2"":2}",5,user1,,,,2025-12-09 17:33:29.000000,3e3ff9aa4fe679c1bf76383e69bfb5e2,2025-12-11 17:33:29.000000,3e3ff9aa4fe679c1bf76383e69bfb5e2
2,"[201,202]","{""1"":1,""2"":2}",5,user2,,,,2025-12-12 17:33:29.000000,3f5512074c1e1f9872deb7f58c95c52b,2025-12-12 17:33:29.000000,3f5512074c1e1f9872deb7f58c95c52b
3,"[301,302]","{""1"":1,""2"":2}",8,user3,,,,2025-12-07 17:33:29.000000,ce7ac311c9358801c1c77670d6793fb8,2025-12-11 17:33:29.000000,ce7ac311c9358801c1c77670d6793fb8
4,"[401,402]","{""1"":1,""2"":2}",4,user4,,,,2025-12-05 17:33:29.000000,80c53d4a33452ad71774fe3d657d01d9,2025-12-11 17:33:29.000000,80c53d4a33452ad71774fe3d657d01d9
5,"[501,502]","{""1"":1,""2"":2}",4,user5,,,,2025-12-08 17:33:29.000000,531146d3a749372ee153a14e21dec5f3,2025-12-12 17:33:29.000000,531146d3a749372ee153a14e21dec5f3
6,"[601,602]","{""1"":1,""2"":2}",5,user6,,,,2025-12-08 17:33:29.000000,7b1ef266ecb55b8084db033cfc349414,2025-12-12 17:33:29.000000,7b1ef266ecb55b8084db033cfc349414
7,"[701,702]","{""1"":1,""2"":2}",5,user7,,,,2025-12-10 17:33:29.000000,d7fe01896fd9e562e12cab5e0f7c012b,2025-12-12 17:33:29.000000,d7fe01896fd9e562e12cab5e0f7c012b
8,"[801,802]","{""1"":1,""2"":2}",6,user8,,,,2025-12-06 17:33:29.000000,469a9722a7ae8f7968a20ccad1c2d4cb,2025-12-11 17:33:29.000000,469a9722a7ae8f7968a20ccad1c2d4cb
9,"[901,902]","{""1"":1,""2"":2}",5,user9,,,,2025-12-07 17:33:29.000000,d2d40d962c52ae7b41024c2b0832bf19,2025-12-12 17:33:29.000000,d2d40d962c52ae7b41024c2b0832bf19
10,"[1001,1002]","{""1"":1,""2"":2}",3,user10,,,,2025-12-11 17:33:29.000000,c70bc8fc790db478ab8f82af546b54bb,2025-12-11 17:33:29.000000,c70bc8fc790db478ab8f82af546b54bb
11,"[1101,1102]","{""1"":1,""2"":2}",6,user11,,,,2025-12-10 17:33:29.000000,220085e49312e62f4342e5ab63aea584,2025-12-12 17:33:29.000000,220085e49312e62f4342e5ab63aea584
12,"[1201,1202]","{""1"":1,""2"":2}",6,user12,,,,2025-12-11 17:33:29.000000,0d5abc61faf9b889f78c7672c2f23c8b,2025-12-11 17:33:29.000000,0d5abc61faf9b889f78c7672c2f23c8b
13,"[1301,1302]","{""1"":1,""2"":2}",4,user13,,,,2025-12-06 17:33:29.000000,64d1c3ac0753e6bb1c5a2e3a30d7cf79,2025-12-12 17:33:29.000000,64d1c3ac0753e6bb1c5a2e3a30d7cf79
14,"[1401,1402]","{""1"":1,""2"":2}",6,user14,,,,2025-12-08 17:33:29.000000,88b0a085f7f9690ac5946d1aeeb9c1d9,2025-12-11 17:33:29.000000,88b0a085f7f9690ac5946d1aeeb9c1d9
15,"[1501,1502]","{""1"":1,""2"":2}",5,user15,,,,2025-12-08 17:33:29.000000,cff26728beae966d56688155135dd562,2025-12-12 17:33:29.000000,cff26728beae966d56688155135dd562
16,"[1601,1602]","{""1"":1,""2"":2}",1,user16,,,,2025-12-06 17:33:29.000000,b26eadfb1221c41774509c5d76c9c98c,2025-12-12 17:33:29.000000,b26eadfb1221c41774509c5d76c9c98c
17,"[1701,1702]","{""1"":1,""2"":2}",1,user17,,,,2025-12-05 17:33:29.000000,03d8535dcfd4dc863a5ea6c40150e50c,2025-12-12 17:33:29.000000,03d8535dcfd4dc863a5ea6c40150e50c
18,"[1801,1802]","{""1"":1,""2"":2}",3,user18,,,,2025-12-09 17:33:29.000000,19510beb3b9af1814cc9bf77adf92aae,2025-12-12 17:33:29.000000,19510beb3b9af1814cc9bf77adf92aae
19,"[1901,1902]","{""1"":1,""2"":2}",5,user19,,,,2025-12-10 17:33:29.000000,3394de9de12b1f57b18bd7db14ff4807,2025-12-12 17:33:29.000000,3394de9de12b1f57b18bd7db14ff4807
20,"[2001,2002]","{""1"":1,""2"":2}",7,user20,,,,2025-12-07 17:33:29.000000,ebb3405e49994fb421b0cfaf6830f072,2025-12-12 17:33:29.000000,ebb3405e49994fb421b0cfaf6830f072
