id,pre_order_id,vendor_seat_id,vendor_seat_type,vendor_seat_name,vendor_additional_data,vendor_seat_price,vendor_discount_price,vnpay_seat_type,vnpay_seat_price,campaign_id,sub_campaign_id,campaign_code,campaign_type,campaign_vendor_discount,campaign_vnpay_discount,promotion_vendor_discount,promotion_vnpay_discount,promotion_vendor_amount,promotion_vnpay_amount,created_date,created_by,created_by_hash
1,1,SEAT000001,VIP,E11,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
2,1,SEAT000002,VIP,A11,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-13 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
3,1,SEAT000003,VIP,H3,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-18 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
4,2,SEAT000004,VIP,C6,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
5,2,SEAT000005,NORMAL,A4,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
6,2,SEAT000006,NORMAL,D10,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
7,3,SEAT000007,NORMAL,G9,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-04 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
8,4,SEAT000008,VIP,B7,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
9,4,SEAT000009,NORMAL,G12,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-20 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
10,5,SEAT000010,VIP,F15,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
11,6,SEAT000011,VIP,G5,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-30 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
12,6,SEAT000012,VIP,G1,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-02 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
13,6,SEAT000013,VIP,I10,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-11 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
14,7,SEAT000014,NORMAL,A6,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
15,7,SEAT000015,VIP,J1,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
16,8,SEAT000016,VIP,G4,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
17,8,SEAT000017,VIP,E10,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
18,9,SEAT000018,NORMAL,E11,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
19,9,SEAT000019,VIP,C4,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
