id,session_time,session_version,session_dimension,version_type,session_type,vendor_id,vendor_session_id,vendor_film_id,vendor_cinema_id,vendor_room_id,vendor_room_name_vi,vendor_room_name_en,film_id,cinema_id,location_id,status,created_date,created_by,created_by_hash,modified_date,modified_by
1,2025-12-26 02:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,2,VND-S00001,VND-F004,VND-C005,R01,Phòng 4,Room 3,4,5,5,active,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system
2,2025-12-25 14:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,5,VND-S00002,VND-F006,VND-C006,R10,Phòng 3,Room 9,6,6,3,active,2025-11-19 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
3,2025-12-23 04:33:29.000000,subtitling,Film2D,VER_Film2D_SUB,nowShowing,4,VND-S00003,VND-F004,VND-C006,R10,Phòng 4,Room 6,4,6,2,active,2025-12-02 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-08 17:33:29.000000,system
4,2025-12-22 13:33:29.000000,dubbing,Film3D,VER_Film3D_DUB,nowShowing,3,VND-S00004,VND-F005,VND-C001,R09,Phòng 10,Room 9,5,1,5,active,2025-11-28 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system
5,2025-12-21 09:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,5,VND-S00005,VND-F002,VND-C003,R03,Phòng 1,Room 3,2,3,2,active,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-08 17:33:29.000000,system
6,2025-12-18 07:33:29.000000,subtitling,Film3D,VER_Film3D_SUB,nowShowing,3,VND-S00006,VND-F004,VND-C002,R06,Phòng 6,Room 9,4,2,5,active,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-06 17:33:29.000000,system
7,2025-12-21 15:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,3,VND-S00007,VND-F003,VND-C005,R07,Phòng 10,Room 3,3,5,4,active,2025-12-07 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-06 17:33:29.000000,system
8,2025-12-18 08:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,3,VND-S00008,VND-F001,VND-C007,R05,Phòng 3,Room 7,1,7,4,active,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-07 17:33:29.000000,system
9,2025-12-14 09:33:29.000000,dubbing,Film3D,VER_Film3D_DUB,nowShowing,3,VND-S00009,VND-F001,VND-C002,R09,Phòng 4,Room 2,1,2,5,active,2025-12-03 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system
10,2025-12-16 07:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,2,VND-S00010,VND-F001,VND-C007,R10,Phòng 4,Room 5,1,7,5,active,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
