id,bank_id,bank_name_vi,bank_name_en,vendor_id,vendor_name_vi,vendor_name_en,status,created_date,created_by,created_by_hash,modified_date,modified_by
1,1,Ví VNPAY,VNPAY,1,CGV,CGV,active,2025-10-25 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-23 17:33:29.000000,system
2,2,Vietcombank,VCB,1,CGV,CGV,active,2025-09-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-19 17:33:29.000000,system
3,3,BIDV,BIDV,1,CGV,CGV,active,2025-08-31 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-07 17:33:29.000000,system
4,4,VietinBank,VTB,1,CGV,CGV,active,2025-08-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-21 17:33:29.000000,system
5,1,Ví VNPAY,VNPAY,2,Lotte Cinema,Lotte,active,2025-09-16 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-21 17:33:29.000000,system
6,2,Vietcombank,VCB,2,Lotte Cinema,Lotte,active,2025-11-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
7,3,BIDV,BIDV,2,Lotte Cinema,Lotte,active,2025-07-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-24 17:33:29.000000,system
8,4,VietinBank,VTB,2,Lotte Cinema,Lotte,active,2025-06-25 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-18 17:33:29.000000,system
9,1,Ví VNPAY,VNPAY,3,Galaxy,Galaxy,active,2025-10-20 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-22 17:33:29.000000,system
10,2,Vietcombank,VCB,3,Galaxy,Galaxy,active,2025-09-25 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-01 17:33:29.000000,system
11,3,BIDV,BIDV,3,Galaxy,Galaxy,active,2025-07-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-15 17:33:29.000000,system
12,4,VietinBank,VTB,3,Galaxy,Galaxy,active,2025-10-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-24 17:33:29.000000,system
13,1,Ví VNPAY,VNPAY,4,BHD,BHD,active,2025-11-04 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-27 17:33:29.000000,system
14,2,Vietcombank,VCB,4,BHD,BHD,active,2025-08-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-25 17:33:29.000000,system
15,3,BIDV,BIDV,4,BHD,BHD,active,2025-06-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-06 17:33:29.000000,system
16,4,VietinBank,VTB,4,BHD,BHD,active,2025-07-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-11-13 17:33:29.000000,system
